sentence_id,word,cyrillic,cyrillic_saidova,gloss,my_gloss,id,error
24,bu=k'-ič'-a-da,бу=кI-ичI-а-да,бу=кI-ичI-а-да,N=be.PST-NEG-CONV-COP,,,
25,ʕalik'ya-di,гIаликI'а-ди,гIаликI'а-ди,Alikja-ERG,гIаликI'а<NOUN>><erg>,,abs
25,tãwxa-Li,таᵸвха-лIи,тавуᵸха-лIи,fireplace-INTER,тавуᵸха<NOUN>><inter>,72578,orph
25,hinu,гьину,гьину,inside,,,
25,ru=k'a-bu,ру=кIа-бу,ру=кIа-бу,NPL=be.PST-PART,,,
25,habu-be,гьабу-бе,гьабу-бе,coal-PL,гьабу<NOUN>><pl>,68651,
25,milla-la,милла-ла,милла-ла,foot-AND,милла<NOUN>><and>,71439,
25,k̄.ann-u,ккванн-у,ккванн-у,hit.PST-CONV,,,
25,hanq'u-qi,гьанкъу-хъи,гьанкъу-хъи,house-AD,гьанкъу<NOUN>><ad>,68784,
25,š̄id-al-u-da,щид-ал-у-да,щид-ал-у-да,crumble-CAUS.PST-CONV-COP,,,
26,ho-š̄u-ra,гьо-щу-ра,гьо-щу-ра,he-OBL.M-AFF,гьо<PRON>><obl><m>><aff>,,
26,haʔ-a-da,гьа-а-да,гьа-а-да,see.PST-CONV-COP,,,
26,k'e-da,кIе-да,кIе-да,two-CARD,кIе<NUM>><card>,,
26,guržija=w,гуржийа=в,гуржийа=в,Georgian=M,гуржийав<NOUN>><m>,68404,
26,k̄.ann-u,кканн-у,кканн-у,kill.PST-CONV,,,
26,k'e-da,кIе-да,кIе-да,two-CARD,кIе<NUM>><card>,,
26,musa-łi,муса-лъи,муса-лъи,Musa-DAT,муса<NOUN>><dat>,,abs
26,req.a,рехъа,рехъа,fight.PST,,,
27,ʕalik'ya-di,гIаликI'а-ди,гIаликI'а-ди,Alikja-ERG,гIаликI'а<NOUN>><erg>,,abs
27,musa-łi,муса-лъи,муса-лъи,Musa-DAT,муса<NOUN>><dat>,,abs
27,kumak-i-łi-la,кумаки-лъи-ла,кумаки-лъи-ла,aid-OBL-DAT-AND,кумаки<NOUN>><dat>><and>,70298,
27,wu=L-u,ву=лI-у,ву=лI-у,M=become.PST-CONV,,,
27,ce=w,це=в,це=в,one=M,це<NUM>><m>,,
27,guržija=w,гуржийа=в,гуржийа=в,Georgian=M,гуржийав<NOUN>><m>,68404,
27,k̄.ann-u-da,кканн-у-да,кканн-у-да,kill.PST-CONV-COP,,,
28,ce=w,це=в,це=в,one=M,це<NUM>><m>,,
28,č̄ar-u-da,ччар-у-да,ччар-у-да,run.away.PST-CONV-COP,,,
28,is̄ira,иссира,иссира,outward,,,
28,adami-ke,адами-ке,адами-ке,man-PL,адами<NOUN>><pl>,66881,
28,b=al-i,б=ал-и,б=ал-и,HPL=call-INF,,,
29,musa-di,муса-ди,муса-ди,Musa-ERG,муса<NOUN>><erg>,,abs
29,ʕalik'ya-qi,гIаликI'а-хъи,гIаликI'а-хъи,Alikja-AD,гIаликI'а<NOUN>><ad>,,abs
29,hiL'-u-da,гьикь-у-да,гьикь-у-да,say.PST-CONV-COP,,,
29,ži=w,жи=в,жи=в,self=M,жи<PRON>><m>,,
29,q'era-ła,къера-лъа,къера-лъа,wound-EPT,,,
29,ĩh-i,иᵸгь-и,иᵸгь-и,do.PST,,,
29,in-š̄u-łi,ин-щу-лъи,ин-щу-лъи,self.OBL-OBL.M-DAT,жи<PRON>><obl><m>><dat>,,
29,kumaki,кумаки,кумаки,aid,кумаки<NOUN>,70298,
29,ĩh-a:-L'u,иᵸгь-а̄-кьу,иᵸгь-а̄-кьу,do-IMP.EPT-CIT,,,
30,ʕalik'ya-di,гIаликI'а-ди,гIаликI'а-ди,Alikja-ERG,гIаликI'а<NOUN>><erg>,,abs
30,musa,муса,муса,Musa,муса<NOUN>,,
30,muRul-a-Li-la,мугъул-а-лIи-ла,мугъул-а-лIи-ла,back-OBL-INTER-AND,мугъул<NOUN>><obl>><inter>><and>,71509,
30,k̄.ann-u,ккванн-у,ккванн-у,fasten.PST-CONV,,,
30,is̄ira,иссира,иссира,outward,,,
